Feature10,Importance10
Init Fwd Win Byts,83.0
Dst Port,77.0
Flow Duration,70.0
Tot Fwd Pkts,61.0
Flow IAT Min,53.0
Fwd IAT Min,47.0
Fwd IAT Tot,37.0
Protocol,37.0
Fwd IAT Max,27.0
Fwd IAT Std,27.0
RST Flag Cnt,22.0
Flow IAT Max,22.0
Flow Pkts/s,21.0
Fwd IAT Mean,21.0
Idle Mean,18.0
Flow IAT Mean,17.0
Active Min,15.0
Idle Min,15.0
Bwd Pkt Len Mean,13.0
Flow IAT Std,12.0
Active Mean,11.0
Bwd Header Len,11.0
Fwd Pkts/s,11.0
Init Bwd Win Byts,10.0
Pkt Size Avg,7.0
TotLen Fwd Pkts,7.0
Fwd Pkt Len Max,6.0
Pkt Len Max,5.0
Bwd IAT Min,4.0
Flow Byts/s,3.0
Active Std,3.0
Down/Up Ratio,3.0
ACK Flag Cnt,2.0
Fwd Header Len,2.0
Idle Std,2.0
Idle Max,2.0
Fwd Pkt Len Min,1.0
Pkt Len Std,1.0
Pkt Len Mean,1.0
Fwd Act Data Pkts,1.0
Fwd Pkt Len Mean,1.0
Active Max,1.0
TotLen Bwd Pkts,1.0
Fwd Pkt Len Std,1.0
