Feature05,Importance05
Tot Fwd Pkts,76.0
Flow IAT Min,75.0
Init Fwd Win Byts,73.0
Fwd IAT Min,50.0
Flow IAT Std,36.0
Pkt Size Avg,28.0
ACK Flag Cnt,24.0
Fwd Pkts/s,19.0
Flow IAT Max,18.0
Fwd IAT Tot,16.0
Init Bwd Win Byts,15.0
Tot Bwd Pkts,14.0
Flow Pkts/s,14.0
Bwd IAT Min,13.0
Protocol,13.0
Flow Duration,11.0
Dst Port,10.0
Flow IAT Mean,10.0
Fwd IAT Max,6.0
Fwd IAT Std,4.0
TotLen Fwd Pkts,4.0
Bwd Pkts/s,4.0
Fwd Pkt Len Mean,3.0
Fwd IAT Mean,2.0
Fwd Header Len,2.0
Bwd Pkt Len Std,1.0
Fwd Pkt Len Max,1.0
Fwd Act Data Pkts,1.0
Fwd Seg Size Min,1.0
Idle Max,1.0
