Feature08,Importance08
Dst Port,908.0
Flow IAT Min,489.0
Init Fwd Win Byts,483.0
Fwd IAT Min,436.0
Flow Duration,364.0
Init Bwd Win Byts,272.0
Fwd IAT Tot,251.0
Active Min,237.0
Idle Max,233.0
Bwd IAT Tot,226.0
Flow IAT Max,213.0
Flow Byts/s,207.0
Idle Mean,207.0
Idle Min,205.0
Fwd IAT Mean,188.0
Bwd IAT Min,180.0
Bwd IAT Max,180.0
Active Mean,179.0
Flow IAT Std,174.0
Flow Pkts/s,172.0
Bwd Pkts/s,171.0
TotLen Fwd Pkts,170.0
Idle Std,159.0
Fwd Pkts/s,155.0
Active Std,150.0
Fwd IAT Std,145.0
Fwd IAT Max,141.0
Bwd Pkt Len Std,135.0
Active Max,133.0
Fwd Pkt Len Std,131.0
TotLen Bwd Pkts,131.0
Fwd Pkt Len Mean,128.0
Pkt Len Std,126.0
Bwd IAT Mean,125.0
Fwd Pkt Len Max,124.0
Pkt Len Mean,121.0
Flow IAT Mean,116.0
Bwd IAT Std,111.0
Bwd Pkt Len Mean,91.0
Fwd Header Len,84.0
Pkt Size Avg,81.0
Tot Fwd Pkts,75.0
Fwd Act Data Pkts,60.0
Fwd Seg Size Min,56.0
Bwd Header Len,55.0
Fwd Pkt Len Min,53.0
Fwd URG Flags,50.0
Protocol,41.0
Pkt Len Max,39.0
Bwd Pkt Len Min,39.0
Bwd Pkt Len Max,38.0
Pkt Len Min,35.0
Tot Bwd Pkts,35.0
RST Flag Cnt,25.0
Down/Up Ratio,17.0
PSH Flag Cnt,15.0
FIN Flag Cnt,15.0
URG Flag Cnt,10.0
ACK Flag Cnt,4.0
Fwd PSH Flags,4.0
Subflow Bwd Byts,2.0
ECE Flag Cnt,1.0
