Feature01,Importance01
Flow IAT Min,303.0
Flow Duration,301.0
Bwd Pkts/s,154.0
Dst Port,106.0
Flow IAT Mean,103.0
Fwd Seg Size Min,101.0
Fwd Pkts/s,84.0
Flow Pkts/s,65.0
Init Fwd Win Byts,56.0
Init Bwd Win Byts,45.0
Flow IAT Max,35.0
Fwd IAT Min,12.0
Fwd Header Len,11.0
ACK Flag Cnt,7.0
Bwd IAT Min,7.0
PSH Flag Cnt,1.0
Flow IAT Std,1.0
URG Flag Cnt,1.0
Pkt Size Avg,1.0
Fwd IAT Max,1.0
Fwd IAT Mean,1.0
Fwd Act Data Pkts,1.0
Fwd Pkt Len Std,1.0
