Feature06,Importance06
Flow IAT Min,366.0
Fwd IAT Min,322.0
Init Fwd Win Byts,249.0
Fwd Pkts/s,166.0
Flow IAT Mean,151.0
Dst Port,145.0
Flow Duration,143.0
RST Flag Cnt,109.0
Fwd IAT Max,104.0
Fwd IAT Tot,101.0
Flow Pkts/s,83.0
Flow IAT Max,81.0
Fwd Act Data Pkts,81.0
Bwd Pkts/s,73.0
Fwd Pkt Len Std,58.0
Bwd Pkt Len Std,55.0
TotLen Fwd Pkts,48.0
Fwd IAT Std,37.0
Pkt Len Max,36.0
Fwd IAT Mean,33.0
Flow Byts/s,27.0
Fwd Pkt Len Max,24.0
Flow IAT Std,22.0
Pkt Len Std,22.0
Fwd Pkt Len Mean,22.0
Bwd IAT Min,19.0
Init Bwd Win Byts,14.0
ECE Flag Cnt,13.0
Bwd IAT Mean,12.0
Down/Up Ratio,12.0
Tot Bwd Pkts,9.0
ACK Flag Cnt,9.0
Pkt Len Mean,8.0
Bwd IAT Tot,8.0
TotLen Bwd Pkts,7.0
Bwd Pkt Len Mean,7.0
Fwd Header Len,6.0
URG Flag Cnt,6.0
Tot Fwd Pkts,5.0
Bwd IAT Max,3.0
Bwd IAT Std,2.0
Bwd Pkt Len Max,2.0
Pkt Size Avg,1.0
Active Mean,1.0
Active Max,1.0
